update,episodes,frames,FPS,duration,return_mean,return_std,return_min,return_max,success_rate,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,loss,grad_norm
10,496,25600,1504.1780030135621,17,0.34987980608756725,0.3631321451523218,0.0,0.957812488079071,0.5846153846153846,43.276923076923076,23.06746472835892,3.0,64.0,1.8029340982437134,1.6152725219726562,-1.3506956189870833,17.002481818199158,7.132516622543335,3.0343587398529053
20,1087,51200,1484.608996985685,34,0.3330322268884629,0.37355044791650033,0.0,0.9859374761581421,0.515625,43.984375,23.560754038429565,1.0,64.0,1.5232659250497818,2.5070878505706786,-0.39541545491665603,12.209399127960205,5.69405198097229,5.209559202194214
30,1725,76800,1458.0028488132887,51,0.3876708969473839,0.3786156962765097,0.0,0.9859374761581421,0.609375,40.765625,24.161398828697294,1.0,64.0,1.3853961259126661,3.0416504204273225,-0.5290677826851606,13.116666746139526,6.015411376953125,6.946141719818115
